"","ID","refmap","stMLH","MHC_All","MHCAB","MHCII","MHCDQA","MHCDRB","AB_distinct_supertypes","DQA_distinct_supertypes","DRB_distinct_supertypes","All_distinct_supertypes","ClassII_distinct_supertypes","ABMeanDiff","ABMinDiff","ABMaxDiff","DQAMeanDiff","DQAMinDiff","DQAMaxDiff","DRBMeanDiff","DRBMinDiff","DRBMaxDiff"
"1","1",24.60770328,1.00610823,18,10,8,2,6,8,2,4,14,6,15.4222222222222,1,23,9,9,9,15.4,6,22
"2","10",22.68426445,0.878142928,17,10,7,1,6,5,1,5,11,6,13.8222222222222,2,19,0,0,0,17.5333333333333,12,23
"3","11",25.26363922,1.03118803,16,9,7,2,5,7,2,5,14,7,13.8611111111111,2,19,9,9,9,18,12,20
"4","12",24.93081317,0.987794144,17,8,9,3,6,6,3,2,11,5,14.5,4,19,15.3333333333333,12,18,17.1333333333333,12,22
"5","13",23.18589688,0.937401245,11,9,2,1,1,8,1,1,10,2,16.6111111111111,2,23,0,0,0,0,0,0
"6","14",25.10405006,1.020222908,18,11,7,1,6,6,1,3,10,4,14.0181818181818,1,19,0,0,0,17.4,12,24
"7","15",25.5947966,1.04658586,17,11,6,2,4,9,2,4,15,6,15.7818181818182,1,23,9,9,9,20.5,18,24
"8","16",27.04754179,1.089046543,17,10,7,1,6,6,1,4,11,5,13.3111111111111,1,19,0,0,0,16.9333333333333,11,22
"9","17",23.93594122,0.972862915,19,11,8,2,6,5,2,5,12,7,13.6727272727273,2,19,16,16,16,17.5333333333333,12,23
"10","18",23.50544269,0.942067254,19,12,7,1,6,8,1,4,13,5,14.3181818181818,1,23,0,0,0,17.2,11,23
"11","19",25.65795138,1.042853053,20,13,7,1,6,9,1,4,14,5,14.3205128205128,2,19,0,0,0,18.0666666666667,12,22
"12","2",23.4770197,0.959331488,16,8,8,2,6,6,1,4,11,5,14.1904761904762,2,19,15,15,15,17.0666666666667,12,20
"13","20",25.39578401,1.038536994,18,10,8,2,6,6,1,4,11,5,14.2,1,19,15,15,15,17.0666666666667,12,20
"14","21",25.4584935,1.012057392,15,8,7,1,6,6,1,3,10,4,14.7142857142857,1,23,0,0,0,18.2,12,24
"15","22",26.77415558,1.061517089,16,10,6,1,5,8,1,2,11,3,15.2222222222222,2,21,0,0,0,17.4,12,21
"16","3",24.10278373,0.984761238,17,11,6,2,4,9,2,4,15,6,15.7818181818182,1,23,9,9,9,20.5,18,24
"17","4",25.24555904,0.986394341,16,9,7,2,5,8,2,3,13,5,14.0277777777778,7,20,12,12,12,17.8,13,23
"18","5",27.32306943,1.047519062,19,13,6,2,4,8,2,2,12,4,15.3205128205128,1,23,12,12,12,19.5,13,23
"19","6",26.89567505,1.061283789,18,12,6,2,4,10,2,1,13,3,15.6060606060606,1,23,16,16,16,16.6666666666667,12,20
"20","7",23.59534122,0.940550801,17,12,5,1,4,9,1,3,13,4,15.6060606060606,1,23,0,0,0,20.3333333333333,17,23
"21","8",24.00478728,0.982661534,17,10,7,1,6,7,1,2,10,3,15.3333333333333,1,23,0,0,0,15.7333333333333,11,22
"22","9",23.84635215,0.971113161,16,12,4,1,3,10,1,1,12,2,14.8333333333333,5,20,0,0,0,14.6666666666667,12,16
